word,meaning
bio,"biography– a life story written by another person;
biology – the science of life;
biosphere – Earth’s surface inhabited by living things"
cand,"candid– free from bias, prejudice, or malice;
candle– something that gives light; incandescent– white, glowing, or luminous with intense heat"
centro,"egocentric – self-centered;
eccentric – not having a common center, not according to norm; centrifugal – moving outward from a center"
centri,"egocentric – self-centered;
eccentric – not having a common center, not according to norm; centrifugal – moving outward from a center"
cerebro,cerebral – pertaining to the brain
chrono,"chronic – lasting for a long time; chronological – arranging events in time order,
synchronize – happening at the same time"
celer,accelerate – to increase the speed of
circum,circumference– the  distance around 
claim,"clamour – to shout and make noise; exclaim – to loudly cry out suddenly;
proclamation – something announced officially in public"
clam,"clamour – to shout and make noise; exclaim – to loudly cry out suddenly;
proclamation – something announced officially in public"
cise,"homicide – murder;
incisor – a sharp tooth for cutting food; insecticide – a chemical used to kill insects"
cide,"homicide – murder;
incisor – a sharp tooth for cutting food; insecticide – a chemical used to kill insects"
cline,"inclination – a leaning toward;
incline – a surface that slopes or leans; recline – to lean back and relax"
caut,"cauterize – to burn with a hot instrument;
caustic – capable of burning or eating away;
holocaust – total devastation, especially by fire"
caust,"cauterize – to burn with a hot instrument;
caustic – capable of burning or eating away;
holocaust – total devastation, especially by fire"
clud,"conclusion – the end or last part; exclusion – shutting out, rejecting; seclude – to keep away from; to isolate"
clus,"conclusion – the end or last part; exclusion – shutting out, rejecting; seclude – to keep away from; to isolate"
cede,"exceed – to go beyond the limits; recede – to go back;
accessible – easily entered, approached, or obtained;"
ceed,"exceed – to go beyond the limits; recede – to go back;
accessible – easily entered, approached, or obtained;"
cess,"exceed – to go beyond the limits; recede – to go back;
accessible – easily entered, approached, or obtained;"
Col,"collaborate – to work together; collision – smashing together;
colloquial – words formed by everyday interaction"
capt,"intercept – to stop or interrupt;
perceive – to take notice of something; captivating – taking hold of"
cept,"intercept – to stop or interrupt;
perceive – to take notice of something; captivating – taking hold of"
ceive,"intercept – to stop or interrupt;
perceive – to take notice of something; captivating – taking hold of"
corpo,"corporation – a company recognized by law as a single body;
corpse – a dead body;
corporal – pertaining to the body"
cosmo,"cosmonaut – a Russian astronaut; cosmos – the universe;
microcosm – a miniature universe"
cranio,"craniology – the study of skull characteristics;
 cranium – skull of vertebrates;
cranial – pertaining to the skull"
cred,"credence – belief that something is true or valid;
credulous – believing things too easily, gullible;
incredible – unbelievable"
cruc,"crucial-characteristic of or having the form of a cross ;
 crucifix– the cross itself as a Christian emblem;
excruciating-  so intense as to cause great pain or anguish"
cogni,"cognition – process of acquiring knowledge;
incognito – disguised so no one knows you;
 recognize – to discover that one knows"
act ," to move or do (actor, acting, reenact)"
arbor ," tree (arboreal, arboretum, arborist)"
crypt ," to hide (apocryphal, cryptic, cryptography)"
ego ," I (egotist, egocentric, egomaniac)"
form ," shape (conform, formulate, reform)"
legal ," related to the law (illegal, legalities, paralegal)"
meter ," measure (kilometer, millimeter, pedometer)"
norm ," typical (abnormal, normality, paranormal)"
phobia ," fear (arachnophobia, claustrophobia, hydrophobia)"
acri ," bitter (acrid, acrimony, acridity)"
astro ," star (astronaut, astronomy, astrophysics)"
aud ," hear (audience, audible, audio)"
auto ," self (autonomy, autocrat, automatic)"
bene ," good (benefactor, benevolent, beneficial)"
carn ," flesh (carnal, carnivorous, reincarnate)"
corp ," body (corporal, corporate, corpse)"
cred ," believe (credible, credence, incredible)"
dict ," say (diction, dictate, edict)"
fac ," to do (factory, faculty, faction)"
gen ," birth (genesis, genetics, generate)"
lum ," light (lumen, luminary, luminous)"
micro ," small (microbiology, microcosm, microscope)"
multi ," many (multilingual, multiple, multifaceted)"
port ," carry (portal, portable, transport)"
sect ," cut apart (dissect, sectional, transect)"
sen ," old (senator, senile, senior)"
sent ," to feel (consent, sensation, sensing)"
tele ," far (telephone, telegraph, television)"
vor ," to eat (herbivore, omnivore, voracious)"
ambul ," to move or walk (ambulance, ambulate)"
cardio ," heart (cardiovascular, electrocardiogram, cardiology)"
cede ," to go or yield (intercede, recede, concede)"
counter ," against or opposite (counteract, counterpoint, counterargument)"
dem ," people (democracy, democrat, demographic)"
derm ," skin (dermatitis, dermatology, epidermis)"
equi ," equal (equity, equilateral, equidistant)"
hypno ," sleep (hypnosis, hypnotic, hypnotism)"
intra ," within or into (intrapersonal, intramural, intravenous)"
ject ," to throw (reject, eject, inject)"
magni ," big or great (magnificent, magnify, magnitude)"
mal ," bad (malignant, malfunction, malice)"
omni ," all (omnipotent, omnipresent, omnivore)"
pater ," father (paternal, paternity, patriarch)"
script ," to write (manuscript, postscript, scripture)"
"vis, vid "," to see (envision, evident, vision)"
